,date,Daily,Daily,Daily,Daily
,,sum,min,max,mean
263,2010-01-31,223910604.21144325,9.587926363833548,18879833.719406333,902865.3395622711
264,2010-02-07,201896918.903853,134.19752607951426,18848869.632824432,820719.1825359878
265,2010-02-14,325395417.1272394,30.125975242339937,32032190.848348957,1296396.0841722686
266,2010-02-21,273226846.409784,46.55832537452536,22321056.711092964,1092907.3856391362
267,2010-02-28,206579251.3446187,15.062987621169968,14136196.226902155,813304.1391520421
268,2010-03-07,311361522.71328074,36.82158791716254,60290676.600213215,1240484.1542361781
269,2010-03-14,271810939.6292257,1050.0971368968576,36681035.82479519,1132545.5817884402
270,2010-03-21,241080324.2348195,6115.111119279883,19701231.05486351,952886.6570546225
271,2010-03-28,222469827.71228826,1504.2300545418625,23892250.5539698,849121.4798178942
272,2010-04-04,329776984.43854284,996.9103987942894,35479422.60792445,1244441.4507114824
273,2010-04-11,268066195.7143834,694.3129412088492,15032212.803856725,1023153.4187571885
274,2010-04-18,202193721.0152838,149.75377163328122,12404068.146640737,762995.1736425804
275,2010-04-25,179075554.673486,413.8649688774317,9224569.582810802,663242.7950869852
276,2010-05-02,172508121.72042367,2002.616346114152,21422897.829594195,648526.7733850514
277,2010-05-09,274754908.50950605,1379.3881967934442,69703555.87900248,1029044.6011591987
278,2010-05-16,250784579.23698083,873.3404559579794,30801662.2551678,946356.9027810597
279,2010-05-23,257009886.04138824,206.77219518008232,39301119.03967862,977223.9012980541
280,2010-05-30,282204378.80757916,895.1059501874616,23010787.937014733,1142527.8494233973
281,2010-06-06,280881667.0574481,671.3046635927786,18703865.9474695,1180175.07166995
282,2010-06-13,278466186.0085151,262.8028399054894,28683421.242282014,1170025.9916324164
283,2010-06-20,356929605.4435116,8.170036473745785,56031418.70445714,1538489.6786358259
284,2010-06-27,366202930.45103574,54.4669098249719,30760855.904970985,1525845.5435459823
285,2010-07-04,514165889.162737,5900.128006790082,93320662.08097632,2107237.250666955
286,2010-07-11,454090257.4057227,6380.813532344699,29055559.233616658,1853429.6220641742
287,2010-07-18,375128712.3434185,3731.5574764576095,29666777.72945402,1537412.7555058135
288,2010-07-25,354143669.2337956,1946.7811715922592,22480383.42553357,1526481.3329042913
289,2010-08-01,309549980.98164177,1777.9693776919516,14582764.613129616,1328540.6909083338
290,2010-08-08,289787861.34214336,613.1382929019019,17842505.13806387,1168499.4408957392
291,2010-08-15,286649267.59865695,788.5148777895855,18123444.83196984,1179626.615632333
292,2010-08-22,271838743.5545687,437.7617080142182,9078049.4322346,1105035.542904751
293,2010-08-29,223345661.79961708,247.43053061673203,12788652.260695703,879313.6291323507
294,2010-09-05,193490435.77313292,76.13247095899447,6578555.18652347,727407.6532824546
295,2010-09-12,168715661.53454742,995.9402899665356,14591220.911622928,636662.8737152732
296,2010-09-19,163973394.69553515,691.5874591991358,12803787.987039862,628250.5543890236
297,2010-09-26,171703923.98779523,375.00616648126027,10369703.124771675,624377.9054101645
298,2010-10-03,164423854.71836337,176.63333928465156,12045211.858082129,585138.2730190867
299,2010-10-10,161584258.79800743,2040.9704495887268,8593838.549908327,561056.454159748
300,2010-10-17,222064645.53310534,802.0036806562084,29915149.82505681,737756.2974521773
301,2010-10-24,226097392.80211788,679.8711404547554,27288851.034383275,776966.9855742883
302,2010-10-31,171302520.078478,185.9128667511008,12180685.342758251,663963.2561181318
303,2010-11-07,246459319.70209277,816.5874965151302,27871775.282715507,981909.6402473815
304,2010-11-14,227770215.9586569,145.14096698856963,17901052.046196807,869351.9693078508
305,2010-11-21,300635147.0683172,77.31808521820999,83672478.83415677,1202540.5882732687
306,2010-11-28,395278169.6458139,61.040593593323685,28258608.51472329,1550110.4691992702
307,2010-12-05,161229667.81938085,101.55979815584524,13470228.103376694,629803.3899194564
308,2010-12-12,156257752.37486258,77.18544659844237,13157228.93024423,622540.8461149904
309,2010-12-19,222819609.41026744,322.28309281454887,23710530.98817405,853714.9785834001
310,2010-12-26,341167789.27005327,400.8226700550692,19727408.51559684,1240610.1428001937
311,2011-01-02,472192783.93473274,402.1768006971471,15423045.06050685,1674442.4962224565
312,2011-01-09,225139296.09522167,497.3054267719539,8867136.35264255,830772.3103144711
313,2011-01-16,219106647.03610432,315.36441697733665,17055968.318835907,849250.5699073811
314,2011-01-23,207126167.1212135,733.1548839131245,11675720.63721773,815457.3508709193
315,2011-01-30,187141953.93722728,781.6724865250224,8100121.572951054,779758.1414051136
316,2011-02-06,154364346.0615927,591.4241038547914,9219468.957398932,632640.762547511
317,2011-02-13,234641501.0632148,4060.8439602546673,17828397.80374047,934826.6974630072
318,2011-02-20,251993181.53509802,2003.600025303987,11893933.011255756,999972.9425995953
319,2011-02-27,223759255.97825667,2204.764686479086,8533669.123302713,857315.1570048148
320,2011-03-06,212219045.52724078,2454.415443891044,22050392.64354468,832231.5510872188
321,2011-03-13,212071735.6928182,766.3407527733401,17796251.84062971,803302.0291394629
322,2011-03-20,213225925.88345483,251.0197613070386,9818335.146034984,748161.1434507187
323,2011-03-27,207247007.05024904,18.594056393113974,13444116.376082376,724639.8847910806
324,2011-04-03,208058605.29041806,92.37543684917254,20427079.324139863,719925.9698630383
325,2011-04-10,197704854.0817364,58.06456030519417,12740842.537949188,718926.742115405
326,2011-04-17,206656317.63697723,7.917894587071933,23051188.35871431,773993.699014896
327,2011-04-24,246663513.61741796,7.917894587071933,14100577.29679066,896958.2313360653
328,2011-05-01,261645179.79816914,785.1912132179667,45395084.39045645,947989.7818774245
329,2011-05-08,266606000.16738066,1087.5533978863891,33469581.913101204,948775.8013074045
330,2011-05-15,241915459.2610062,1183.4367288594644,19927810.955577,834191.2388310559
331,2011-05-22,273600531.54543203,560.8518126781258,45788295.31054948,1048277.898641502
332,2011-05-29,405165237.7659761,221.976478554106,41519277.82522438,1647013.1616503093
333,2011-06-05,345174229.9044346,34.18684044975678,28136792.66560637,1369739.0075572801
