,dt,max,min,mean,sum
113,2005-04-24,8812423.011074,1407.7267780061668,1082232.2839054472,34631433.08497431
114,2005-04-25,2607970.185611511,532.2823895169579,312046.15329684824,9361384.598905448
115,2005-04-26,2544874.132733813,321.80969681397744,292995.1717619048,8789855.152857143
116,2005-04-27,2502810.0974820144,314.1838746145941,294144.84071668383,8824345.221500514
117,2005-04-28,2251989.1795220966,349.2626567317575,286235.998836074,8587079.96508222
118,2005-04-29,11939025.364465572,181.49456834532376,1369067.6477669661,42441097.080775954
119,2005-04-30,12976277.498710176,234.87532374100724,1911742.7537715083,59264025.36691676
120,2005-05-01,7278031.911610083,180.15455761316872,1002876.4424566907,31089169.71615741
121,2005-05-02,2179289.9883744856,140.45948559670782,317919.71083649894,8265912.481748972
122,2005-05-03,1921704.0858590533,91.604012345679,302836.9927627414,7873761.811831276
123,2005-05-04,1730105.1336368313,93.13074588477367,284123.11512780946,7387200.993323046
124,2005-05-05,1628897.9673302472,82.44361111111111,274645.32947867207,7140778.566445474
125,2005-05-06,10912691.333261317,1120.6224176954734,1367352.8507521905,42387938.373317905
126,2005-05-07,11085662.609573046,1613.7573508230453,1662509.991182796,51537809.726666674
127,2005-05-08,7980579.723894033,128.24561728395062,1147314.349408934,35566744.83167695
128,2005-05-09,2600440.961867284,119.08521604938272,381973.40542556986,9931308.541064816
129,2005-05-10,2297005.7244393006,38.16833847736626,358082.0807569642,9310134.09968107
130,2005-05-11,2041829.00744856,38.16833847736626,343352.8014975072,8927172.838935187
131,2005-05-12,1970609.9413168724,105.34461419753087,341300.4605773188,8873811.975010289
132,2005-05-13,11845925.52983539,12171.119773662553,1814079.5300029677,47166067.78007716
133,2005-05-14,14563511.229423871,16839.870936213993,2435253.5603430676,63316592.56891976
134,2005-05-15,8865741.661522634,13971.138616255144,1546537.504476496,40209975.116388895
135,2005-05-16,2723692.6337448563,6154.262896090536,473013.34844907414,11352320.362777779
136,2005-05-17,2754227.304526749,6021.4370781893,444101.5318053413,10658436.76332819
137,2005-05-18,2456514.2644032924,5922.199398148148,373732.60179933993,8969582.443184158
138,2005-05-19,76357835.95485082,5552.729881687243,3352257.931122016,83806448.27805041
139,2005-05-20,51190784.719964,1723.6821656378602,2867106.2312986706,74544762.01376544
140,2005-05-21,62128528.22386832,2041.2427417695476,3656999.819926203,95081995.31808129
141,2005-05-22,52233322.35080247,1630.5514197530867,2880216.2334783557,74885622.07043725
142,2005-05-23,21912911.82705247,1131.309552469136,1280914.9989456877,30741959.974696502
143,2005-05-24,15126434.679356998,987.7965997942388,924443.3920837621,22186641.41001029
144,2005-05-25,13210750.503842592,917.5668569958848,837750.945147248,20106022.68353395
145,2005-05-26,13862084.039557615,980.1629320987656,914549.0137002744,21949176.328806587
146,2005-05-27,24712109.06797325,5792.427047325104,3592287.653842145,82622616.03836934
147,2005-05-28,31936731.260185186,8429.095869341565,4473751.510940463,102896284.75163066
148,2005-05-29,28562573.80210905,8361.9195936214,3911949.2144627837,89974831.93264402
149,2005-05-30,22658379.172587447,5317.612916666667,3177296.519141841,73077819.94026235
150,2005-05-31,6727763.555982512,2757.2807716049388,1145505.9606190845,22910119.21238169
151,2005-06-01,6111327.952642674,1744.159233933162,1174339.2222480108,24661123.66720823
152,2005-06-02,5956166.448508998,2645.994848329049,1105895.1963368836,23223799.123074554
153,2005-06-03,13339573.972894602,11488.86690488432,2970032.7918315586,62370688.62846273
154,2005-06-04,17706286.432976864,17774.2491311054,3792141.5891347784,79634973.37183034
155,2005-06-05,12834840.536910027,11684.188323907456,2605614.9061863148,54717913.029912606
156,2005-06-06,3888924.224231363,4500.022380462726,929907.5749655528,18598151.499311056
157,2005-06-07,4081422.638370181,4854.04245244216,951265.6669460156,19025313.33892031
158,2005-06-08,4236507.84507455,4521.385660668381,940763.936181491,18815278.72362982
159,2005-06-09,4358449.448488432,4139.8985141388175,927853.1903840618,18557063.807681236
160,2005-06-10,26665811.15514653,23357.695007712085,2998090.0356854815,68956070.82076608
161,2005-06-11,28833114.406061698,36619.714169665815,3726256.0482378453,85703889.10947044
162,2005-06-12,21321717.94401543,24465.533681233934,2646726.971922432,60874720.35421594
163,2005-06-13,9407653.095352186,9630.261526992288,1070769.136247234,24627690.13368638
164,2005-06-14,8180512.709470438,9856.10191773779,997942.5765188332,22952679.259933162
165,2005-06-15,22993554.84470952,8028.015511568125,1798618.367954799,43166840.830915175
166,2005-06-16,13860462.626560412,9082.445984575836,1404348.3501193232,33704360.402863756
167,2005-06-17,22999466.369532134,16193.366395886893,2553119.391507661,63827984.78769152
168,2005-06-18,27493087.39567609,23495.03038046273,3159312.416527918,78982810.41319795
169,2005-06-19,23890481.482503857,14717.77411311054,2433113.1792045245,60827829.48011311
170,2005-06-20,10113089.971023137,6772.159825192803,1073719.1955915682,26842979.889789205
171,2005-06-21,8246865.531840618,6808.782591259641,981794.7709669924,24544869.27417481
172,2005-06-22,8420439.131614396,6361.679655526993,1137398.0066973781,28434950.16743445
173,2005-06-23,6829291.34025707,6259.44110025707,984939.5678891517,24623489.197228793
174,2005-06-24,12619202.638411311,13228.448293059128,2061932.9913619538,61857989.740858614
175,2005-06-25,16273219.28539846,17057.053295629823,2418802.9249208225,72564087.74762468
176,2005-06-26,13207567.212606683,11826.101542416453,1839295.3632389035,55178860.8971671
177,2005-06-27,6119111.816380463,7374.909516709512,967705.4195403967,27095751.747131106
178,2005-06-28,5687726.151084834,6798.100951156813,952140.634965663,26659937.779038563
179,2005-06-29,32436300.17969666,7928.828853470437,1827982.7469036435,53011499.66020566
180,2005-06-30,22013207.649609257,9717.240596401029,1470243.6751252548,42637066.57863239
181,2005-07-01,33295604.887778915,5427.101745138179,2368306.918791162,68680900.6449437
182,2005-07-02,35211911.02047083,10343.846315250768,2634953.405916952,76413648.7715916
183,2005-07-03,30038087.69372057,5091.420388945753,2274036.238734691,65947050.92330604
184,2005-07-04,18505350.668966223,5506.085593654043,1492341.260716126,43277896.56076766
185,2005-07-05,12839474.67408393,1944.2178096212897,1097166.0015243709,31817814.044206757
186,2005-07-06,10821077.36042477,3110.7484953940634,1022691.3032091556,29658047.79306551
187,2005-07-07,9398458.253961105,3744.138203684749,931956.6169173756,27026741.890603893
188,2005-07-08,32298306.210972365,8349.504140225179,2491091.197311718,77223827.11666326
189,2005-07-09,30593347.186627436,12046.555818833163,2733615.1219685017,84742068.78102355
190,2005-07-10,22261295.43908393,7808.768561924258,1930880.7596323506,59857303.54860287
191,2005-07-11,9381971.894503582,4243.862937563972,904216.8398492923,26222288.355629478
192,2005-07-12,8327201.835460594,4505.117205731833,877258.5210171884,25440497.109498464
193,2005-07-13,7723857.886929376,4195.257492323439,858524.0025876188,24897196.075040944
194,2005-07-14,6997414.572645855,4464.106361310133,811580.9892780504,23535848.68906346
195,2005-07-15,31463512.24572672,5653.420849539407,2407412.7437013434,79444620.54214433
196,2005-07-16,29393120.77594166,7164.746412487206,2786230.373903415,91945602.3388127
197,2005-07-17,24473947.452487208,4982.058137154555,2267860.250623585,74839388.27057831
198,2005-07-18,12963190.721422724,3018.0943654042994,1159604.7528079704,35947747.337047085
199,2005-07-19,11799316.627016377,3337.067599795292,1095107.8748398654,33948344.12003583
200,2005-07-20,10456761.321305016,2765.953618219038,1001970.1402689273,31061074.34833675
201,2005-07-21,9781936.98986694,3466.175813715456,969248.3861628751,30046699.97104913
202,2005-07-22,13770759.56165302,3413.0136079836234,2011947.380281319,66394263.54928353
203,2005-07-23,16124573.939396111,5902.523756397134,2426447.621054248,80072771.49479018
204,2005-07-24,13019231.280864893,3750.213884339816,1890316.3500485409,62380439.55160185
205,2005-07-25,7025751.547221085,2744.688735926305,934819.1774588985,29914213.678684752
206,2005-07-26,7188061.837001024,3513.262338792221,945395.988154267,30252671.620936543
207,2005-07-27,6724602.840951894,1663.2175793244628,874620.4791359071,27987855.33234903
208,2005-07-28,5874015.143843398,1452.0876765609007,787132.244089368,25188231.810859777
209,2005-07-29,8844672.113613103,2655.0724462640737,1738677.9933392266,57376373.780194476
210,2005-07-30,11753404.2272262,3912.7383418628456,2135270.717715952,70463933.68462642
211,2005-07-31,9815262.09825998,2547.229114636643,1663324.916349369,54889722.23952918
212,2005-08-01,5071541.405295316,1624.5253309572302,874099.7286285395,27097091.587484725
213,2005-08-02,4575872.281059064,2083.9259826883917,807206.2846848106,25023394.825229127
214,2005-08-03,4309903.482688392,1953.9639562118125,774026.5308442285,23994822.45617108
215,2005-08-04,4142161.797352343,1431.0934775967414,778320.8837318507,24127947.39568737
216,2005-08-05,19109209.86398676,2431.4988441955197,1820546.0415345575,56436927.28757128
217,2005-08-06,15067360.616838086,3187.092021384929,2036527.1352038304,63132341.19131874
218,2005-08-07,12179545.452260694,2623.4195112016296,1576314.3426770582,48865744.622988805
219,2005-08-08,6299227.688406314,2242.600549898167,834029.4699014403,23352825.157240327
220,2005-08-09,5529826.801496945,2682.355779022404,837661.6602751309,23454526.487703666
221,2005-08-10,4768341.508711813,2436.032403258656,756936.2980328047,21194216.344918534
222,2005-08-11,4215431.667744399,2853.11983706721,715930.0943939119,20046042.643029533
223,2005-08-12,10549170.318925662,5009.582764765784,1771721.9183351898,56695101.386726074
224,2005-08-13,11695728.562601833,6259.333879837068,2141271.207400872,68520678.6368279
225,2005-08-14,9757381.206176171,5082.119709775968,1616843.6401459076,51738996.484669045
226,2005-08-15,4206657.719770876,2644.576120162933,766714.7271095231,22234727.086176172
227,2005-08-16,3767686.7963645626,4267.590264765785,748139.9018698646,21696057.154226072
228,2005-08-17,3216436.2380142566,3604.179455193483,653423.3285833334,19602699.8575
229,2005-08-18,3095388.699842159,3505.95234215886,628822.0710729804,18864662.13218941
230,2005-08-19,10662273.55043279,2877.2988187372707,1487035.5815207062,53533280.93474542
231,2005-08-20,12081103.750763748,5618.590865580448,1867811.3061034738,67241207.01972505
232,2005-08-21,9630488.399185335,3025.395081466396,1337999.402856557,48167978.50283605
233,2005-08-22,4557284.688900204,1588.2568584521389,580781.217596105,18584998.96307536
234,2005-08-23,4385289.013976579,2967.9700000000003,575472.5143823193,18415120.460234217
235,2005-08-24,3935967.975229125,2023.4785285132384,515296.64872979256,16489492.759353362
236,2005-08-25,3546943.2720213854,1420.5151731160895,474413.53256873734,15181233.042199595
237,2005-08-26,7850613.110997965,1669.860921588595,1186679.737656144,42720470.555621184
238,2005-08-27,10185093.791242365,1612.4358401221998,1652973.8758297977,59507059.529872715
239,2005-08-28,7086224.829226069,1799.822948065173,1112581.0655035076,40052918.358126275
240,2005-08-29,2775376.8550661914,770.7050407331975,433523.757742808,13872760.247769857
241,2005-08-30,2880993.6693737274,840.2196130346233,450538.7243770685,14417239.180066193
242,2005-08-31,2471628.397836049,1307.1761965376784,413070.92944624455,13631340.67172607
243,2005-09-01,2096427.4010311875,340.3909255533199,337938.56365785626,11151972.600709256
244,2005-09-02,8320363.504074447,167.20957746478874,970689.5663463211,35915513.95481388
245,2005-09-03,8682836.54445171,827.0902313883299,1354639.6762738593,50121668.0221328
246,2005-09-04,7691146.399361167,615.0923742454729,1299687.6447431887,48088442.855497986
247,2005-09-05,5320680.416177062,1294.381282696177,892129.2446184802,34793040.54012073
248,2005-09-06,1686726.6126760563,795.7384356136821,265031.14591062,8480996.66913984
249,2005-09-07,1359073.473863179,985.342152917505,234168.89536374496,7493404.651639839
250,2005-09-08,1175335.5282545271,718.1054175050302,216355.10359312122,6923363.314979879
251,2005-09-09,16838367.23576962,6989.957515090543,1126381.523860105,40549734.85896378
252,2005-09-10,17846149.809748493,11364.27949698189,1497839.7152002293,53922229.74720825
253,2005-09-11,10184829.418767609,6700.326639839035,851146.7628747486,30641283.463490948
254,2005-09-12,2801898.0448390343,1625.8145523138833,261322.7561173493,8101005.439637828
255,2005-09-13,2555805.8562625754,1985.613732394366,269124.2965239826,8342853.192243461
256,2005-09-14,2303150.691770624,2605.184934607646,258829.97531690143,8023729.234823944
257,2005-09-15,2274814.6401609657,2246.8786971830987,258526.2337255793,8014313.245492958
258,2005-09-16,8362725.75193662,3702.497786720322,1118243.8203287371,38020289.891177066
259,2005-09-17,10453705.405216295,6016.558903420523,1548096.6121141554,52635284.81188128
260,2005-09-18,5680843.8742655935,2314.061116700201,830209.20814697,28227113.076996982
261,2005-09-19,1374726.9776106642,925.6244466800804,240347.64382494972,7210429.314748491
