,Date,max,min,mean,sum
4445,2011-10-07,11186124.921849124,7132.167409383406,917033.3024596882,36681332.098387524
4446,2011-10-08,14177309.530343918,9503.439389455925,1258054.7870518859,50322191.48207543
4447,2011-10-09,10447723.411119113,5810.861629442499,875417.2825865315,35016691.30346126
4448,2011-10-10,4467832.953286136,2700.287605831615,478229.9234674725,16738047.321361538
4449,2011-10-11,2406527.773978562,2078.959292645117,291346.46384983225,10197126.234744128
4450,2011-10-12,1842899.1014879365,1811.5521705142194,245871.07383313138,8605487.584159598
4451,2011-10-13,1926754.8290220432,2419.772291439399,264478.56471982977,9256749.765194042
4452,2011-10-14,7120446.063863335,7324.857835624788,932251.5635483646,35425559.41483785
4453,2011-10-15,9621734.270518197,7174.113624619626,1285299.4730374184,48841379.9754219
4454,2011-10-16,5810569.316755071,2660.9630290476593,738476.7103593005,28062114.993653417
4455,2011-10-17,1380271.672009222,1270.1838301217645,233407.28030337926,8169254.810618274
4456,2011-10-18,1662197.4278887562,3225.9261155104873,277887.7585274461,9726071.548460612
4457,2011-10-19,1354270.2618396706,1531.036856122003,236510.02686361125,8277850.940226394
4458,2011-10-20,1499136.759434858,1579.5371674888813,245277.45998358307,8584711.099425407
4459,2011-10-21,34482076.30372183,3042.4114238520283,1635030.8765649067,60496142.43290155
4460,2011-10-22,22550678.556759313,3745.0105290587007,1579067.7879232862,58425508.15316159
4461,2011-10-23,11874630.098736428,1174.4940266141393,846636.1301936613,32172172.94735913
4462,2011-10-24,3777912.09163461,549.2332557492459,267251.99603847956,9353819.861346785
4463,2011-10-25,3760432.317254142,1156.1425574482935,305203.6582169625,10682128.037593687
4464,2011-10-26,2805669.6066972585,597.7335671161244,249145.71395658844,8470954.274524007
4465,2011-10-27,3034824.4021711773,707.8423821112,229442.02474044418,9407123.014358211
4466,2011-10-28,12543399.581355087,1462.8742563631467,864034.7734457753,35425425.711276785
4467,2011-10-29,18095852.862654086,1957.0531046148549,1173281.007290757,48104521.29892104
4468,2011-10-30,14030109.774526216,1457.6309794586193,798892.5889247325,32754596.145914033
4469,2011-10-31,3318450.2905870047,492.8680290255763,282639.7650702774,12436149.663092205
4470,2011-11-01,3193617.3217919823,1123.0085841842374,270112.15851798054,11884934.974791143
4471,2011-11-02,2468174.7672236226,873.742660124652,214337.5066342379,9430850.291906469
4472,2011-11-03,2581533.037930425,1116.448954603722,224293.20553107662,9868901.043367371
4473,2011-11-04,10578032.423020821,1217.4672501436594,1214249.8759355166,44927245.409614116
4474,2011-11-05,19792264.06728993,1129.568213764753,1716950.2090945477,63527157.73649827
4475,2011-11-06,13323747.741647882,1405.0726561463998,995108.8911658908,36819028.97313796
4476,2011-11-07,2147124.1928126244,331.91725677407953,228976.82977608585,9388050.02081952
