,dt,Genre 0,max,min,mean,sum
41,2005-01-06,Adventure,1053669.8152438386,3853.536297850027,375154.0538044049,1500616.2152176197
42,2005-01-06,Biography,1343134.824331411,32037.57863135816,349546.2467834295,1747731.2339171476
43,2005-01-06,Comedy,4552215.423387521,1252.8662034609335,579944.0545478383,6379384.600026221
44,2005-01-06,Crime,984268.809349764,984268.809349764,984268.809349764,984268.809349764
45,2005-01-06,Documentary,2234.9265443104355,2234.9265443104355,2234.9265443104355,2234.9265443104355
46,2005-01-06,Drama,708689.604320923,52632.8313896172,326235.46489250136,1304941.8595700054
47,2005-01-06,Horror,449786.7488201364,449786.7488201364,449786.7488201364,449786.7488201364
48,2005-01-07,Action,1944056.146177242,5918.820089145255,691134.136253652,4837938.953775564
49,2005-01-07,Adventure,2625087.756334557,14117.701033036185,1105316.436011187,3315949.308033561
50,2005-01-07,Biography,3458221.9926586263,159433.06072364977,994360.9967986367,5966165.98079182
51,2005-01-07,Comedy,13750611.23542213,2695.607781856319,1729895.1165438339,19028846.281982172
52,2005-01-07,Crime,2596388.5603198744,2596388.5603198744,2596388.5603198744,2596388.5603198744
53,2005-01-07,Documentary,5117.296990036708,5117.296990036708,5117.296990036708,5117.296990036708
54,2005-01-07,Drama,13882138.841452545,258728.54368117463,3467473.5924845315,17337367.962422658
55,2005-01-07,Horror,1229520.8704771895,1229520.8704771895,1229520.8704771895,1229520.8704771895
56,2005-01-08,Action,3187145.3241845835,9278.991683272156,1209097.4838369917,8463682.386858942
57,2005-01-08,Adventure,5872691.267524908,26341.3173833246,2445491.072120259,7336473.216360777
58,2005-01-08,Biography,5223129.166229681,272875.8154693236,1519414.3961213075,9116486.376727846
59,2005-01-08,Comedy,20145606.081436817,3394.411415836393,2666112.5807303246,29327238.38803357
60,2005-01-08,Crime,3764909.632066073,3764909.632066073,3764909.632066073,3764909.632066073
61,2005-01-08,Documentary,22459.76668589408,22459.76668589408,22459.76668589408,22459.76668589408
62,2005-01-08,Drama,15272112.185527008,422461.8147404301,4102062.308475092,20510311.54237546
63,2005-01-08,Horror,1490988.5998951234,1490988.5998951234,1490988.5998951234,1490988.5998951234
64,2005-01-09,Action,1484333.623639224,5584.203649711591,666923.4695939772,4668464.28715784
65,2005-01-09,Adventure,3079742.7852595705,14797.828400629262,1399659.5821220067,4198978.74636602
66,2005-01-09,Biography,2980420.844257997,150227.2177503933,897666.9621132669,5386001.772679602
67,2005-01-09,Comedy,10457051.658075511,1828.7177503932885,1415026.4235376844,15565290.658914527
68,2005-01-09,Crime,1903625.1421604615,1903625.1421604615,1903625.1421604615,1903625.1421604615
